"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","296-96","ES-CHC077","Eli4","Eli5","Eli6","F3201","JUNP353","R26"
"group_10","","hypothetical protein","8","8","1","1","2829","","","","488","500","489","NLLKMJFC_00719","HDAOFKCF_00720","HMFJPACF_00603","EPEFIPDD_00604","MPDNCGJB_00607","PEKAAFEB_00252","IEBEDNFC_00604","OGHJCHFL_01163"
"group_1000","","hypothetical protein","8","8","1","1","3907","","","","476","476","476","NLLKMJFC_03211","HDAOFKCF_03263","HMFJPACF_03366","EPEFIPDD_03310","MPDNCGJB_03311","PEKAAFEB_02983","IEBEDNFC_03361","OGHJCHFL_03716"
"group_1001","","hypothetical protein","8","8","1","1","3902","","","","566","566","566","NLLKMJFC_03213","HDAOFKCF_03265","HMFJPACF_03371","EPEFIPDD_03315","MPDNCGJB_03316","PEKAAFEB_02988","IEBEDNFC_03366","OGHJCHFL_03718"
"group_1002","","hypothetical protein","8","8","1","1","3899","","","","701","701","701","NLLKMJFC_03214","HDAOFKCF_03266","HMFJPACF_03373","EPEFIPDD_03317","MPDNCGJB_03318","PEKAAFEB_02990","IEBEDNFC_03369","OGHJCHFL_03721"
"group_1003","","hypothetical protein","8","8","1","1","3897","","","","1340","1340","1340","NLLKMJFC_03216","HDAOFKCF_03268","HMFJPACF_03375","EPEFIPDD_03319","MPDNCGJB_03320","PEKAAFEB_02992","IEBEDNFC_03371","OGHJCHFL_03723"
"agaA_1","","Alpha-galactosidase A","8","8","1","1","3893","","","","1157","1163","1162","NLLKMJFC_03219","HDAOFKCF_03271","HMFJPACF_03378","EPEFIPDD_03322","MPDNCGJB_03323","PEKAAFEB_02996","IEBEDNFC_03374","OGHJCHFL_03726"
"group_1005","","hypothetical protein","8","8","1","1","3891","","","","383","383","383","NLLKMJFC_03221","HDAOFKCF_03273","HMFJPACF_03380","EPEFIPDD_03324","MPDNCGJB_03325","PEKAAFEB_02998","IEBEDNFC_03376","OGHJCHFL_03727"
"group_1006","","hypothetical protein","8","8","1","1","3890","","","","746","746","746","NLLKMJFC_03222","HDAOFKCF_03274","HMFJPACF_03381","EPEFIPDD_03325","MPDNCGJB_03326","PEKAAFEB_02999","IEBEDNFC_03377","OGHJCHFL_03728"
"group_1007","","hypothetical protein","8","8","1","1","3876","","","","1619","1619","1619","NLLKMJFC_03234","HDAOFKCF_03286","HMFJPACF_03395","EPEFIPDD_03338","MPDNCGJB_03339","PEKAAFEB_03012","IEBEDNFC_03389","OGHJCHFL_03740"
"oprM_4","","Outer membrane protein OprM","8","8","1","1","3866","","","","1373","1451","1421","NLLKMJFC_03244","HDAOFKCF_03296","HMFJPACF_03406","EPEFIPDD_03348","MPDNCGJB_03350","PEKAAFEB_03022","IEBEDNFC_03399","OGHJCHFL_03750"
"UgpQ_2","","Glycerophosphodiester phosphodiesterase","8","8","1","1","3865","","","","947","947","947","NLLKMJFC_03245","HDAOFKCF_03297","HMFJPACF_03407","EPEFIPDD_03349","MPDNCGJB_03351","PEKAAFEB_03023","IEBEDNFC_03401","OGHJCHFL_03751"
"tetX2","","Flavin-dependent monooxygenase","8","8","1","1","4327","","","","1127","1163","1131","NLLKMJFC_02884","HDAOFKCF_02936","HMFJPACF_03075","EPEFIPDD_03021","MPDNCGJB_03022","PEKAAFEB_02699","IEBEDNFC_03082","OGHJCHFL_03424"
"spo0J","","Stage 0 sporulation protein J","8","8","1","1","3849","","","","869","890","871","NLLKMJFC_03260","HDAOFKCF_03312","HMFJPACF_03422","EPEFIPDD_03364","MPDNCGJB_03366","PEKAAFEB_03038","IEBEDNFC_03416","OGHJCHFL_03766"
"group_1011","","hypothetical protein","8","8","1","1","3723","","","","395","440","434","NLLKMJFC_03282","HDAOFKCF_03336","HMFJPACF_03448","EPEFIPDD_03425","MPDNCGJB_03427","PEKAAFEB_03062","IEBEDNFC_03517","OGHJCHFL_03790"
"group_1012","","hypothetical protein","8","8","1","1","3718","","","","446","542","530","NLLKMJFC_03287","HDAOFKCF_03341","HMFJPACF_03453","EPEFIPDD_03430","MPDNCGJB_03432","PEKAAFEB_03067","IEBEDNFC_03522","OGHJCHFL_03795"
"group_1013","","hypothetical protein","8","8","1","1","3690","","","","191","191","191","NLLKMJFC_03298","HDAOFKCF_03352","HMFJPACF_03464","EPEFIPDD_03441","MPDNCGJB_03443","PEKAAFEB_03078","IEBEDNFC_03548","OGHJCHFL_03809"
"group_1014","","Keratan-sulfate endo-1,4-beta-galactosidase","8","8","1","1","3684","","","","809","830","827","NLLKMJFC_03308","HDAOFKCF_03362","HMFJPACF_03469","EPEFIPDD_03446","MPDNCGJB_03448","PEKAAFEB_03083","IEBEDNFC_03556","OGHJCHFL_03814"
"efgA","","Formaldehyde-sensing protein EfgA","8","8","1","1","3657","","","","401","401","401","NLLKMJFC_03330","HDAOFKCF_03384","HMFJPACF_03494","EPEFIPDD_03471","MPDNCGJB_03473","PEKAAFEB_03110","IEBEDNFC_03579","OGHJCHFL_00021"
"ynfM","","Inner membrane transport protein YnfM","8","8","1","1","3651","","","","1202","1202","1202","NLLKMJFC_03336","HDAOFKCF_03390","HMFJPACF_03500","EPEFIPDD_03477","MPDNCGJB_03479","PEKAAFEB_03116","IEBEDNFC_03585","OGHJCHFL_00027"
"group_1017","","hypothetical protein","8","8","1","1","3642","","","","869","869","869","NLLKMJFC_03343","HDAOFKCF_03397","HMFJPACF_03504","EPEFIPDD_03481","MPDNCGJB_03483","PEKAAFEB_03120","IEBEDNFC_03588","OGHJCHFL_00031"
"group_1018","","hypothetical protein","8","8","1","1","3636","","","","2243","2249","2246","NLLKMJFC_03348","HDAOFKCF_03402","HMFJPACF_03512","EPEFIPDD_03489","MPDNCGJB_03491","PEKAAFEB_03128","IEBEDNFC_03593","OGHJCHFL_00036"
"rhaR_9","","HTH-type transcriptional activator RhaR","8","8","1","1","4280","","","","830","926","914","NLLKMJFC_02885","HDAOFKCF_02937","HMFJPACF_03076","EPEFIPDD_03022","MPDNCGJB_03023","PEKAAFEB_02700","IEBEDNFC_03083","OGHJCHFL_03425"
"btsR_3","","Transcriptional regulatory protein BtsR","8","8","1","1","3616","","","","740","740","740","NLLKMJFC_03365","HDAOFKCF_03419","HMFJPACF_03528","EPEFIPDD_03505","MPDNCGJB_03506","PEKAAFEB_03143","IEBEDNFC_03608","OGHJCHFL_00052"
