Strain	Bases	CDS	rRNA	tRNA	Contigs
296-96	4203861	3890	15	53	1
ES-CHC077	4233862	3908	15	52	1
Eli4	4238046	3909	15	52	1
Eli5	4265224	3886	15	52	1
Eli6	4265228	3887	15	52	1
F3201	4281097	3898	15	52	2
JUNP353	4316163	4037	15	53	1
R26	4058311	3748	15	52	1
